"Away"  "Draw"  "Home"
"739"  0.52  0.22  0.26
"740"  0.36  0.07  0.57
"741"  0.06  0.33  0.61
"742"  0.08  0.1  0.82
"743"  0.17  0.11  0.72
"744"  0.45  0.13  0.42
"745"  0.31  0.34  0.35
"746"  0.48  0.21  0.32
"747"  0.32  0.25  0.43
"748"  0.09  0.37  0.54
"749"  0.34  0.18  0.47
"750"  0.26  0.31  0.43
"751"  0.84  0.09  0.07
"752"  0.27  0.08  0.65
"753"  0.09  0.2  0.71
"754"  0.09  0.16  0.75
"755"  0.27  0.14  0.59
"756"  0.68  0.05  0.27
"757"  0.78  0.09  0.12
